Timestamp,Letter Pair,Correct Image,User Input,Is Correct,Response Time (s)
2024-07-19 14:21:10,FG,Fog,fog,True,2.543
2024-07-19 14:21:20,GO,Gonzalo,gonzalo,True,9.553
2024-07-19 14:21:21,FH,Fish,fish,True,1.332
2024-07-19 14:21:26,FO,Forrest,fo,False,5.089
2024-07-19 14:21:35,GQ,GQ,gq,True,8.742
2024-07-19 14:21:37,FN,Fan,fan,True,2.672
2024-07-19 14:21:44,GS,Gas,gas,True,6.455
2024-07-19 14:21:49,GH,Ghost,ghost,True,5.331
2024-07-19 14:21:52,GK,Goku,goku,True,3.262
2024-07-19 14:22:01,FV,Favorito,fv,False,8.244
2024-07-19 14:22:03,FX,Fox,fox,True,2.298
2024-07-19 14:22:06,GF,Goofy,gif,False,3.145
2024-07-19 14:22:15,GU,Gustavo,gu,False,9.252
2024-07-19 14:22:18,FI,Fiona,fiona,True,2.309
2024-07-19 14:22:20,FS,Fresa,fresa,True,2.003
2024-07-19 14:22:24,GX,Galaxia,galaxia,True,3.862
2024-07-19 14:22:25,GI,Gina,gina,True,1.379
2024-07-19 14:22:26,GW,Glow,glow,True,1.309
2024-07-19 14:22:29,FP,Fap,fap,True,2.981
2024-07-19 14:22:31,FL,Flor,flor,True,1.405
2024-07-19 14:22:34,GN,Gin,gin,True,3.252
2024-07-19 14:22:35,FJ,Fiji,fiji,True,1.389
2024-07-19 14:22:39,FQ,Frequency,frequency,True,3.263
2024-07-19 14:22:41,FK,Fuck,fuck,True,2.062
2024-07-19 14:22:42,GL,Gol,gol,True,1.791
2024-07-19 14:22:46,GP,Grand Prix,grand prix,True,3.145
2024-07-19 14:22:47,FO,Forrest,forrest,True,1.701
2024-07-19 14:22:49,FB,Facebook,facebook,True,1.783
2024-07-19 14:22:51,FU,Funes,funes,True,2.019
2024-07-19 14:22:54,FV,Favorito,favorito,True,2.783
2024-07-19 14:22:56,GV,Gaviota,gaviota,True,2.581
2024-07-19 14:23:01,GF,Goofy,goofy,True,4.996
2024-07-19 14:23:03,FM,Familia,familia,True,1.703
2024-07-19 14:23:05,GB,Gameboy,game boy,True,2.142
2024-07-19 14:23:08,GU,Gustavo,gustavo,True,3.064
2024-07-19 14:23:10,FD,Food,food,True,1.410
2024-07-19 14:23:13,GC,Gamecube,gamecube,True,2.815
2024-07-19 14:23:15,GJ,Gojira,gojira,True,2.368
2024-07-19 14:23:17,FT,Futbol,futbol,True,2.335
2024-07-19 14:23:19,GM,Goma,gama,False,1.622
2024-07-19 14:23:21,GM,Goma,goma,True,1.893
2024-07-19 14:23:22,FC,Face,face,True,1.430
2024-07-19 14:23:23,FW,Flow,flow,True,1.195
2024-07-19 14:23:29,GT,Gato,gato,True,5.312
2024-07-19 14:23:30,GD,God,god,True,1.565
2024-07-19 14:23:53,HC,Hardcore,hardcore,True,3.405
2024-07-19 14:23:55,HO,Horacio,horacio,True,1.536
2024-07-19 14:23:56,IC,Ice,ice,True,1.602
2024-07-19 14:23:58,IV,Ivanchis,ivanchis,True,1.854
2024-07-19 14:24:00,HB,Hobo,hobo,True,1.475
2024-07-19 14:24:01,IN,India,india,True,1.173
2024-07-19 14:24:02,IT,Italia,italia,True,1.347
2024-07-19 14:24:05,HS,Highschool,highschool,True,2.420
2024-07-19 14:24:07,HL,Halo,halo,True,1.940
2024-07-19 14:24:09,HD,Hada,hada,True,2.161
2024-07-19 14:24:12,HV,Heaven,hvac,False,3.612
2024-07-19 14:24:15,IG,Instagram,instagram,True,2.811
2024-07-19 14:24:21,HU,Humberto,hu,False,5.461
2024-07-19 14:24:26,HN,Hinata,hinata,True,5.043
2024-07-19 14:24:27,IQ,IQ,iq,True,1.704
2024-07-19 14:24:30,IX,Index,index,True,2.094
2024-07-19 14:24:32,HK,Hong Kong,hong kong,True,2.460
2024-07-19 14:24:35,HQ,Headquarters,headquarters,True,2.570
2024-07-19 14:24:37,IB,Ibuprofeno,ibuprofeno,True,2.866
2024-07-19 14:24:40,HV,Heaven,heaven,True,2.387
2024-07-19 14:24:44,HP,Harry Potter,harry potter,True,3.794
2024-07-19 14:24:48,HW,Homework,homework,True,4.761
2024-07-19 14:24:56,IH,Itachi,itachi,True,7.746
2024-07-19 14:25:01,HT,Hitler,hat,False,4.736
2024-07-19 14:25:03,IK,Ike,ike,True,2.236
2024-07-19 14:25:06,IP,Ipod,ip,False,3.326
2024-07-19 14:25:10,IJ,Tijuana,tijuana,True,3.551
2024-07-19 14:25:13,HM,Hamaca,hombre,False,2.736
2024-07-19 14:25:22,HI,Hilary,higinio,False,8.896
2024-07-19 14:25:25,IL,Illinois,illinois,True,3.274
2024-07-19 14:25:27,ID,ID,id,True,2.388
2024-07-19 14:25:29,IM,Iman,iman,True,2.030
2024-07-19 14:25:32,IW,Iwata,iwata,True,2.407
2024-07-19 14:25:33,IS,Isla,isla,True,1.733
2024-07-19 14:25:38,IF,Infierno,infierno,True,4.595
2024-07-19 14:25:41,HI,Hilary,hillary,True,2.795
2024-07-19 14:25:44,HT,Hitler,hitler,True,3.172
2024-07-19 14:25:50,HF,Hufflepuff,hufflepuff,True,5.615
2024-07-19 14:25:52,IO,Ion,ion,True,2.146
2024-07-19 14:26:00,HG,Hogar,higo,False,8.146
2024-07-19 14:26:02,IP,Ipod,ip,False,2.143
2024-07-19 14:26:05,HX,Hilux,hilux,True,2.803
2024-07-19 14:26:06,HG,Hogar,hogar,True,1.291
2024-07-19 14:26:08,HJ,Hoja,hoja,True,1.824
2024-07-19 14:26:10,IU,Iglu,iglu,True,1.892
2024-07-19 14:26:12,IP,Ipod,ipod,True,2.168
2024-07-19 14:26:14,HU,Humberto,humbert,False,1.809
2024-07-19 14:26:16,HM,Hamaca,hamaca,True,2.495
2024-07-19 14:26:18,HU,Humberto,humberto,True,1.918
2024-07-19 14:26:29,HL,Halo,halo,True,2.256
2024-07-19 14:26:33,HO,Horacio,horacio,True,3.330
2024-07-19 14:26:34,HB,Hobo,hobo,True,1.355
2024-07-19 14:26:36,HG,Hogar,hogar,True,1.840
2024-07-19 14:26:37,HU,Humberto,humberto,True,1.553
2024-07-19 14:26:42,HF,Hufflepuff,hf,False,4.591
2024-07-19 14:26:44,HX,Hilux,hilux,True,2.206
2024-07-19 14:26:47,HT,Hitler,hitler,True,3.141
2024-07-19 14:26:50,HS,Highschool,highshchool,True,2.852
2024-07-19 14:26:53,HP,Harry Potter,harry potter,True,3.210
2024-07-19 14:26:55,HD,Hada,hada,True,1.898
2024-07-19 14:26:59,HI,Hilary,hillary,True,3.262
2024-07-19 14:27:00,HM,Hamaca,hamaca,True,1.857
2024-07-19 14:27:06,HF,Hufflepuff,hufflepuff,True,5.560
2024-07-19 14:27:08,HV,Heaven,heaven,True,1.927
2024-07-19 14:27:10,HQ,Headquarters,headquarters,True,2.410
2024-07-19 14:27:12,HJ,Hoja,hoja,True,1.316
2024-07-19 14:27:15,HK,Hong Kong,hong kong,True,2.969
2024-07-19 14:27:18,HC,Hardcore,hardcore,True,3.309
2024-07-19 14:27:21,HW,Homework,homework,True,2.574
2024-07-19 14:27:22,HN,Hinata,hinata,True,1.584
2024-07-19 14:27:34,IW,Iwata,iwata,True,1.805
2024-07-19 14:27:35,IM,Iman,iman,True,1.159
2024-07-19 14:27:37,IK,Ike,ike,True,1.542
2024-07-19 14:27:38,IV,Ivanchis,ivanchis,True,1.421
2024-07-19 14:27:40,IF,Infierno,infierno,True,1.755
2024-07-19 14:27:41,IS,Isla,isla,True,1.113
2024-07-19 14:27:48,IH,Itachi,itachi,True,7.147
2024-07-19 14:27:49,IU,Iglu,iglu,True,1.462
2024-07-19 14:27:52,IB,Ibuprofeno,ibuprofeno,True,2.385
2024-07-19 14:27:54,IO,Ion,ion,True,1.790
2024-07-19 14:27:55,IT,Italia,italia,True,1.362
2024-07-19 14:27:57,IL,Illinois,illinois,True,2.364
2024-07-19 14:27:59,IX,Index,index,True,1.353
2024-07-19 14:28:00,IN,India,india,True,1.039
2024-07-19 14:28:03,IJ,Tijuana,tijuana,True,3.247
2024-07-19 14:28:05,IP,Ipod,ip,False,1.548
2024-07-19 14:28:08,IC,Ice,ice,True,3.750
2024-07-19 14:28:11,IG,Instagram,instagram,True,2.398
2024-07-19 14:28:13,ID,ID,id,True,2.275
2024-07-19 14:28:14,IQ,IQ,iq,True,1.246
2024-07-19 14:28:16,IP,Ipod,ipod,True,1.618
2024-07-19 14:28:27,KJ,Kanji,kanju,False,2.388
2024-07-19 14:28:33,KW,Kiwi,kiwi,True,5.461
2024-07-19 14:28:37,JC,Juice,juice,True,3.940
2024-07-19 14:28:39,KB,Kirby,kirby,True,2.585
2024-07-19 14:28:41,KT,Katana,katana,True,1.520
2024-07-19 14:28:44,KF,KFC,kf,False,3.754
2024-07-19 14:28:51,JL,Jalisco,jelly,False,6.585
2024-07-19 14:28:55,KP,Kristaps Porzingis,kristaps porzingis,True,3.601
2024-07-19 14:28:57,JO,Jose,jose,True,2.397
2024-07-19 14:29:00,KF,KFC,kfc,True,2.740
2024-07-19 14:29:22,KN,Knicks,knicks,True,22.405
2024-07-19 14:29:27,JI,Jimena,jimena,True,4.372
2024-07-19 14:29:29,KO,Knockout,knockout,True,2.594
2024-07-19 14:29:32,JD,Jedi,jedi,True,2.491
2024-07-19 14:29:47,JN,Juno,juno,True,15.606
2024-07-19 14:30:00,KL,Kilo,kilo,True,12.812
2024-07-19 14:30:07,KG,King,king,True,7.027
2024-07-19 14:30:10,JU,Julian,julian,True,2.646
2024-07-19 14:30:15,KX,Kleenex,kleenex,True,5.337
2024-07-19 14:30:18,KM,Kimono,kimono,True,2.557
2024-07-19 14:30:20,KD,Keed,keed,True,2.766
2024-07-19 14:30:33,JT,Jet,jet,True,13.001
2024-07-19 14:30:37,JH,Josh Hart,josh hart,True,4.006
2024-07-19 14:30:40,KC,Kansas City,kansas city,True,2.465
2024-07-19 14:30:42,JX,Jinx,jinx,True,2.141
2024-07-19 14:30:45,KH,Khalifa,khalifa,True,2.629
2024-07-19 14:30:47,JQ,Jaque,jaque,True,2.196
2024-07-19 14:30:49,KJ,Kanji,kanji,True,2.000
2024-07-19 14:30:57,JW,Jaws,jaws,True,7.904
2024-07-19 14:31:04,JM,Jamon,jamon,True,6.834
2024-07-19 14:31:07,JB,Jalen Brunson,jalen brunson,True,3.206
2024-07-19 14:31:10,KS,Kiss,kiss,True,3.046
2024-07-19 14:31:11,KU,Kurt,kurt,True,1.562
2024-07-19 14:31:27,JF,Jirafa,jefe,False,15.350
2024-07-19 14:31:29,JK,Joker,joker,True,2.311
2024-07-19 14:31:33,KI,Kim,kim,True,3.673
2024-07-19 14:31:35,JF,Jirafa,jirafa,True,2.316
2024-07-19 14:31:41,JL,Jalisco,jalisco,True,5.755
2024-07-19 14:31:43,JS,Jess,jess,True,2.081
2024-07-19 14:31:46,KQ,Kick,kick,True,2.941
2024-07-19 14:31:51,JV,Javelin,java,False,4.719
2024-07-19 14:31:59,JV,Javelin,javelin,True,8.336
2024-07-19 14:32:06,JP,Japon,japon,True,7.463
2024-07-19 14:32:08,JG,Jaguar,jaguar,True,1.465
2024-07-19 14:32:11,KV,Kevlar,kevlar,True,3.432
2024-07-19 14:43:04,LW,Law,low,False,2.082
2024-07-19 14:43:10,LH,Leche,leche,True,5.874
2024-07-19 14:43:14,LB,Lobo,lobo,True,4.095
2024-07-19 14:43:19,LF,Life,life,True,5.059
2024-07-19 14:43:21,LI,Liliana,liliana,True,1.738
2024-07-19 14:43:24,LJ,Lebron James,lebron james,True,2.726
2024-07-19 14:43:25,LM,Limon,limon,True,1.461
2024-07-19 14:43:27,LT,Lata,lata,True,1.940
2024-07-19 14:43:30,LO,Lorena,lorena,True,2.554
2024-07-19 14:43:33,LQ,Liquido,liquido,True,3.249
2024-07-19 14:43:35,LV,Louveira,louveira,True,2.236
2024-07-19 14:43:37,LD,Lodo,lodo,True,1.339
2024-07-19 14:43:39,LU,Lupis,lupis,True,2.677
2024-07-19 14:43:44,LP,Lap,lupa,False,4.916
2024-07-19 14:43:47,LX,Latex,latex,True,3.266
2024-07-19 14:43:49,LC,Locust,locust,True,1.437
2024-07-19 14:43:50,LN,Luna,lana,False,1.194
2024-07-19 14:43:52,LN,Luna,luna,True,1.840
2024-07-19 14:43:55,LK,Luke,luke,True,3.158
2024-07-19 14:44:14,LS,Laser,ls,False,18.668
2024-07-19 14:44:17,LP,Lap,lap,True,2.914
2024-07-19 14:44:18,LS,Laser,laser,True,0.981
2024-07-19 14:44:19,LW,Law,law,True,1.233
2024-07-19 14:44:34,LG,Lago,lago,True,14.695
